Module	Section	Sample Name	Source
STAR	ReadsPerGene	analysis | star | wt_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/wt_2_ReadsPerGene.out.tab
STAR	ReadsPerGene	analysis | star | mir163_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/mir163_1_ReadsPerGene.out.tab
STAR	ReadsPerGene	analysis | star | mir163_3	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/mir163_3_ReadsPerGene.out.tab
STAR	ReadsPerGene	analysis | star | wt_3	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/wt_3_ReadsPerGene.out.tab
STAR	ReadsPerGene	analysis | star | wt_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/wt_1_ReadsPerGene.out.tab
Cutadapt	all_sections	analysis | trim_galore | SRR24016003_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016003_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016005_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016005_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016000_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016000_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016000_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016000_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016002_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016002_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016002_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016002_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016004_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016004_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016001_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016001_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016004_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016004_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016001_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016001_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016003_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016003_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	analysis | trim_galore | SRR24016005_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/SRR24016005_1.fastq.gz_trimming_report.txt
FastQC	all_sections	analysis | trim_galore | mir163_1_val_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/mir163_1_val_1_fastqc.zip
FastQC	all_sections	analysis | trim_galore | wt_2_val_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/wt_2_val_2_fastqc.zip
FastQC	all_sections	analysis | trim_galore | wt_3_val_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/wt_3_val_2_fastqc.zip
FastQC	all_sections	analysis | trim_galore | wt_1_val_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/wt_1_val_2_fastqc.zip
FastQC	all_sections	analysis | trim_galore | wt_3_val_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/wt_3_val_1_fastqc.zip
FastQC	all_sections	analysis | trim_galore | mir163_2_val_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/mir163_2_val_2_fastqc.zip
FastQC	all_sections	analysis | trim_galore | wt_2_val_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/wt_2_val_1_fastqc.zip
FastQC	all_sections	analysis | trim_galore | mir163_3_val_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/mir163_3_val_1_fastqc.zip
FastQC	all_sections	analysis | trim_galore | wt_1_val_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/wt_1_val_1_fastqc.zip
FastQC	all_sections	analysis | trim_galore | mir163_2_val_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/mir163_2_val_1_fastqc.zip
FastQC	all_sections	analysis | trim_galore | mir163_1_val_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/mir163_1_val_2_fastqc.zip
FastQC	all_sections	analysis | trim_galore | mir163_3_val_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/trim_galore/mir163_3_val_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016001_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016001_1_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016002_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016002_1_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016004_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016004_1_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016003_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016003_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016005_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016005_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016002_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016002_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016005_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016005_1_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016001_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016001_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016000_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016000_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016004_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016004_2_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016000_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016000_1_fastqc.zip
FastQC	all_sections	analysis | fastqc | SRR24016003_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/fastqc/SRR24016003_1_fastqc.zip
